runid                 	all	drc-contextualized-partial	mh-simple-no	mh-simple-partial	mhw-contextualized-partial	ml-simple-no	ml-simple-partial
set_P                 	752471736	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000
set_recall            	752471736	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	752471736	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
num_ret               	752471763	5	5	5	5	5	5
num_rel               	752471763	1	1	1	1	1	1
num_rel_ret           	752471763	1	1	1	1	1	1
recip_rank            	752471763	1.0000	0.2000	1.0000	1.0000	0.5000	1.0000
set_P                 	752471763	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000
set_recall            	752471763	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	752471763	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
num_ret               	752471767	5	5	5	5	5	5
num_rel               	752471767	1	1	1	1	1	1
num_rel_ret           	752471767	1	1	1	1	1	1
recip_rank            	752471767	1.0000	0.2000	1.0000	1.0000	0.5000	1.0000
set_P                 	752471767	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000
set_recall            	752471767	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	752471767	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
num_ret               	752471798	5	5	5	5	5	5
num_rel               	752471798	1	1	1	1	1	1
num_rel_ret           	752471798	1	0	1	1	1	1
recip_rank            	752471798	1.0000	0.0000	1.0000	1.0000	0.5000	1.0000
set_P                 	752471798	0.2000	0.0000	0.2000	0.2000	0.2000	0.2000
set_recall            	752471798	1.0000	0.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	752471798	0.3333	0.0000	0.3333	0.3333	0.3333	0.3333
num_ret               	752471823	5	5	5	5	5	5
num_rel               	752471823	1	1	1	1	1	1
num_rel_ret           	752471823	1	1	1	1	1	1
recip_rank            	752471823	1.0000	0.2000	1.0000	1.0000	0.5000	1.0000
set_P                 	752471823	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000
set_recall            	752471823	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	752471823	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
num_ret               	752471859	5	5	5	5	5	5
num_rel               	752471859	1	1	1	1	1	1
num_rel_ret           	752471859	1	1	1	1	1	1
recip_rank            	752471859	1.0000	0.2500	1.0000	1.0000	0.5000	1.0000
set_P                 	752471859	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000
set_recall            	752471859	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	752471859	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
num_ret               	752471882	5	5	5	5	5	5
num_rel               	752471882	1	1	1	1	1	1
num_rel_ret           	752471882	1	1	1	1	1	1
recip_rank            	752471882	1.0000	0.2000	1.0000	1.0000	0.5000	1.0000
set_P                 	752471882	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000
set_recall            	752471882	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	752471882	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
num_ret               	752471888	5	5	5	5	5	5
num_rel               	752471888	1	1	1	1	1	1
num_rel_ret           	752471888	1	0	1	1	1	1
recip_rank            	752471888	1.0000	0.0000	1.0000	1.0000	0.5000	1.0000
set_P                 	752471888	0.2000	0.0000	0.2000	0.2000	0.2000	0.2000
set_recall            	752471888	1.0000	0.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	752471888	0.3333	0.0000	0.3333	0.3333	0.3333	0.3333
num_ret               	921189112	5	5	5	5	5	5
num_rel               	921189112	1	1	1	1	1	1
num_rel_ret           	921189112	1	0	1	1	1	1
recip_rank            	921189112	1.0000	0.0000	1.0000	1.0000	0.5000	1.0000
set_P                 	921189112	0.2000	0.0000	0.2000	0.2000	0.2000	0.2000
set_recall            	921189112	1.0000	0.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	921189112	0.3333	0.0000	0.3333	0.3333	0.3333	0.3333
num_ret               	921189119	5	5	5	5	5	5
num_rel               	921189119	1	1	1	1	1	1
num_rel_ret           	921189119	1	0	1	1	1	1
recip_rank            	921189119	1.0000	0.0000	1.0000	1.0000	0.5000	1.0000
set_P                 	921189119	0.2000	0.0000	0.2000	0.2000	0.2000	0.2000
set_recall            	921189119	1.0000	0.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	921189119	0.3333	0.0000	0.3333	0.3333	0.3333	0.3333
num_ret               	921189177	5	5	5	5	5	5
num_rel               	921189177	1	1	1	1	1	1
num_rel_ret           	921189177	1	0	1	1	1	1
recip_rank            	921189177	1.0000	0.0000	1.0000	1.0000	0.3333	1.0000
set_P                 	921189177	0.2000	0.0000	0.2000	0.2000	0.2000	0.2000
set_recall            	921189177	1.0000	0.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	921189177	0.3333	0.0000	0.3333	0.3333	0.3333	0.3333
num_ret               	921189213	2	5	2	2	5	2
num_rel               	921189213	1	1	1	1	1	1
num_rel_ret           	921189213	1	1	1	1	1	1
recip_rank            	921189213	1.0000	0.5000	1.0000	1.0000	0.5000	1.0000
set_P                 	921189213	0.5000	0.2000	0.5000	0.5000	0.2000	0.5000
set_recall            	921189213	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	921189213	0.6667	0.3333	0.6667	0.6667	0.3333	0.6667
