runid                 	all	drc-contextualized-partial	mh-simple-no	mh-simple-partial	mhw-contextualized-partial	ml-simple-no	ml-simple-partial
ndcg_cut_15           	1151263973	0.6850	0.7351	0.6950	0.7011	0.6684	0.6659
ndcg_cut_16           	1151263973	0.6850	0.7351	0.6950	0.7011	0.6684	0.6659
ndcg_cut_17           	1151263973	0.6850	0.7351	0.6950	0.7740	0.7048	0.6659
ndcg_cut_18           	1151263973	0.7565	0.7351	0.6950	0.7740	0.7048	0.6659
ndcg_cut_19           	1151263973	0.7565	0.7351	0.6950	0.8442	0.7048	0.6659
ndcg_cut_20           	1151263973	0.7565	0.7351	0.6950	0.8442	0.7048	0.6659
set_P                 	1151263973	0.2500	0.2500	0.2000	0.3000	0.2500	0.2000
set_recall            	1151263973	0.7143	0.7143	0.5714	0.8571	0.7143	0.5714
set_F                 	1151263973	0.3704	0.3704	0.2963	0.4444	0.3704	0.2963
num_ret               	1161561471	20	20	20	20	20	20
num_rel               	1161561471	4	4	4	4	4	4
num_rel_ret           	1161561471	4	2	4	4	0	1
map                   	1161561471	0.8875	0.0857	0.3562	0.7049	0.0000	0.2500
ndcg_cut_01            	1161561471	0.5000	0.0000	0.0000	0.5000	0.0000	0.5000
ndcg_cut_02            	1161561471	0.5000	0.0000	0.0000	0.5000	0.0000	0.3066
ndcg_cut_03            	1161561471	0.4335	0.0000	0.0000	0.4335	0.0000	0.2658
ndcg_cut_04            	1161561471	0.5945	0.0000	0.1027	0.3890	0.0000	0.2385
ndcg_cut_05            	1161561471	0.7790	0.0000	0.1950	0.3890	0.0000	0.2385
ndcg_cut_06            	1161561471	0.7790	0.0000	0.1950	0.3890	0.0000	0.2385
ndcg_cut_07            	1161561471	0.7790	0.0795	0.1950	0.3890	0.0000	0.2385
ndcg_cut_08            	1161561471	0.7790	0.0795	0.3455	0.5395	0.0000	0.2385
ndcg_cut_09            	1161561471	0.7790	0.0795	0.3455	0.6831	0.0000	0.2385
ndcg_cut_10           	1161561471	0.7790	0.1485	0.4834	0.6831	0.0000	0.2385
ndcg_cut_11           	1161561471	0.7790	0.1485	0.4834	0.6831	0.0000	0.2385
ndcg_cut_12           	1161561471	0.7790	0.1485	0.4834	0.6831	0.0000	0.2385
ndcg_cut_13           	1161561471	0.7790	0.1485	0.4834	0.6831	0.0000	0.2385
ndcg_cut_14           	1161561471	0.7790	0.1485	0.4834	0.6831	0.0000	0.2385
ndcg_cut_15           	1161561471	0.7790	0.1485	0.4834	0.6831	0.0000	0.2385
ndcg_cut_16           	1161561471	0.7790	0.1485	0.4834	0.6831	0.0000	0.2385
ndcg_cut_17           	1161561471	0.7790	0.1485	0.4834	0.6831	0.0000	0.2385
ndcg_cut_18           	1161561471	0.7790	0.1485	0.4834	0.6831	0.0000	0.2385
ndcg_cut_19           	1161561471	0.7790	0.1485	0.4834	0.6831	0.0000	0.2385
ndcg_cut_20           	1161561471	0.7790	0.1485	0.4834	0.6831	0.0000	0.2385
set_P                 	1161561471	0.2000	0.1000	0.2000	0.2000	0.0000	0.0500
set_recall            	1161561471	1.0000	0.5000	1.0000	1.0000	0.0000	0.2500
set_F                 	1161561471	0.3333	0.1667	0.3333	0.3333	0.0000	0.0833
num_ret               	1300152499	20	20	20	20	20	20
num_rel               	1300152499	6	6	6	6	6	6
num_rel_ret           	1300152499	4	2	4	4	4	4
map                   	1300152499	0.5556	0.3333	0.4556	0.5536	0.4375	0.5392
ndcg_cut_01            	1300152499	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
ndcg_cut_02            	1300152499	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
ndcg_cut_03            	1300152499	1.0000	0.7654	0.7654	0.7654	0.7654	1.0000
ndcg_cut_04            	1300152499	0.8319	0.6367	0.6367	0.8048	0.6367	0.8319
ndcg_cut_05            	1300152499	0.7735	0.5920	0.5920	0.7483	0.5920	0.7735
ndcg_cut_06            	1300152499	0.7265	0.5560	0.5560	0.7029	0.5560	0.7265
ndcg_cut_07            	1300152499	0.7265	0.5560	0.5560	0.7597	0.5560	0.7265
ndcg_cut_08            	1300152499	0.7265	0.5560	0.5560	0.7597	0.6636	0.7265
ndcg_cut_09            	1300152499	0.7265	0.5560	0.6587	0.7597	0.6636	0.7265
