runid                 	all	drc-contextualized-partial	mh-simple-no	mh-simple-partial	mhw-contextualized-partial	ml-simple-no	ml-simple-partial
set_F                 	187186341	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
num_ret               	187186366	5	5	5	5	5	5
num_rel               	187186366	1	1	1	1	1	1
num_rel_ret           	187186366	1	1	1	1	1	1
recip_rank            	187186366	1.0000	0.3333	1.0000	1.0000	0.5000	1.0000
set_P                 	187186366	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000
set_recall            	187186366	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	187186366	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
num_ret               	187186368	5	5	5	5	5	5
num_rel               	187186368	1	1	1	1	1	1
num_rel_ret           	187186368	1	1	1	1	1	1
recip_rank            	187186368	1.0000	0.3333	1.0000	1.0000	0.5000	1.0000
set_P                 	187186368	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000
set_recall            	187186368	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	187186368	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
num_ret               	187186372	5	5	5	5	5	5
num_rel               	187186372	1	1	1	1	1	1
num_rel_ret           	187186372	1	1	1	1	1	1
recip_rank            	187186372	1.0000	0.3333	1.0000	1.0000	0.5000	1.0000
set_P                 	187186372	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000
set_recall            	187186372	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	187186372	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
num_ret               	187186401	5	5	5	5	5	5
num_rel               	187186401	1	1	1	1	1	1
num_rel_ret           	187186401	1	1	1	1	1	1
recip_rank            	187186401	1.0000	0.3333	1.0000	1.0000	0.5000	1.0000
set_P                 	187186401	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000
set_recall            	187186401	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	187186401	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
num_ret               	187186403	5	5	5	5	5	5
num_rel               	187186403	1	1	1	1	1	1
num_rel_ret           	187186403	1	0	1	1	1	1
recip_rank            	187186403	1.0000	0.0000	0.3333	1.0000	0.5000	1.0000
set_P                 	187186403	0.2000	0.0000	0.2000	0.2000	0.2000	0.2000
set_recall            	187186403	1.0000	0.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	187186403	0.3333	0.0000	0.3333	0.3333	0.3333	0.3333
num_ret               	187186428	5	5	5	5	5	5
num_rel               	187186428	1	1	1	1	1	1
num_rel_ret           	187186428	1	0	1	1	1	1
recip_rank            	187186428	1.0000	0.0000	0.5000	1.0000	0.5000	1.0000
set_P                 	187186428	0.2000	0.0000	0.2000	0.2000	0.2000	0.2000
set_recall            	187186428	1.0000	0.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	187186428	0.3333	0.0000	0.3333	0.3333	0.3333	0.3333
num_ret               	187186464	5	5	5	5	5	5
num_rel               	187186464	1	1	1	1	1	1
num_rel_ret           	187186464	1	1	1	1	1	1
recip_rank            	187186464	1.0000	0.3333	1.0000	1.0000	0.5000	1.0000
set_P                 	187186464	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000
set_recall            	187186464	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	187186464	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
num_ret               	187186491	5	5	5	5	5	5
num_rel               	187186491	1	1	1	1	1	1
num_rel_ret           	187186491	1	1	1	1	1	1
recip_rank            	187186491	1.0000	0.3333	1.0000	1.0000	0.5000	1.0000
set_P                 	187186491	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000
set_recall            	187186491	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	187186491	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
num_ret               	187186493	5	5	5	5	5	5
num_rel               	187186493	1	1	1	1	1	1
num_rel_ret           	187186493	1	1	1	1	1	1
recip_rank            	187186493	1.0000	0.5000	1.0000	1.0000	0.5000	1.0000
set_P                 	187186493	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000
set_recall            	187186493	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	187186493	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
num_ret               	187186497	5	5	5	5	5	5
num_rel               	187186497	1	1	1	1	1	1
num_rel_ret           	187186497	1	1	1	1	1	1
recip_rank            	187186497	1.0000	0.5000	1.0000	1.0000	0.5000	1.0000
set_P                 	187186497	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000
set_recall            	187186497	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	187186497	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
num_ret               	188402870	5	5	5	5	5	5
num_rel               	188402870	1	1	1	1	1	1
num_rel_ret           	188402870	1	0	1	1	0	1
recip_rank            	188402870	1.0000	0.0000	1.0000	1.0000	0.0000	1.0000
set_P                 	188402870	0.2000	0.0000	0.2000	0.2000	0.0000	0.2000
set_recall            	188402870	1.0000	0.0000	1.0000	1.0000	0.0000	1.0000
set_F                 	188402870	0.3333	0.0000	0.3333	0.3333	0.0000	0.3333
num_ret               	212070400	5	5	5	5	5	5
num_rel               	212070400	1	1	1	1	1	1
num_rel_ret           	212070400	1	1	1	1	1	1
recip_rank            	212070400	1.0000	1.0000	1.0000	1.0000	0.5000	1.0000
set_P                 	212070400	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000
set_recall            	212070400	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	212070400	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
num_ret               	212070404	5	5	5	5	5	5
num_rel               	212070404	1	1	1	1	1	1
num_rel_ret           	212070404	1	1	1	1	1	1
recip_rank            	212070404	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
set_P                 	212070404	0.2000	0.2000	0.2000	0.2000	0.2000	0.2000
set_recall            	212070404	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	212070404	0.3333	0.3333	0.3333	0.3333	0.3333	0.3333
num_ret               	234087209	5	5	5	5	5	5
num_rel               	234087209	1	1	1	1	1	1
num_rel_ret           	234087209	1	0	1	1	0	1
recip_rank            	234087209	1.0000	0.0000	0.5000	1.0000	0.0000	1.0000
set_P                 	234087209	0.2000	0.0000	0.2000	0.2000	0.0000	0.2000
set_recall            	234087209	1.0000	0.0000	1.0000	1.0000	0.0000	1.0000
set_F                 	234087209	0.3333	0.0000	0.3333	0.3333	0.0000	0.3333
num_ret               	234087368	5	5	5	5	5	5
num_rel               	234087368	1	1	1	1	1	1
num_rel_ret           	234087368	1	0	1	1	1	1
recip_rank            	234087368	1.0000	0.0000	1.0000	1.0000	0.2500	1.0000
set_P                 	234087368	0.2000	0.0000	0.2000	0.2000	0.2000	0.2000
set_recall            	234087368	1.0000	0.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	234087368	0.3333	0.0000	0.3333	0.3333	0.3333	0.3333
num_ret               	313326615	5	5	5	5	5	5
num_rel               	313326615	1	1	1	1	1	1
num_rel_ret           	313326615	1	0	1	1	1	1
recip_rank            	313326615	1.0000	0.0000	1.0000	1.0000	0.5000	1.0000
set_P                 	313326615	0.2000	0.0000	0.2000	0.2000	0.2000	0.2000
set_recall            	313326615	1.0000	0.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	313326615	0.3333	0.0000	0.3333	0.3333	0.3333	0.3333
num_ret               	313326649	5	5	5	5	5	5
num_rel               	313326649	1	1	1	1	1	1
num_rel_ret           	313326649	1	0	1	1	1	1
recip_rank            	313326649	1.0000	0.0000	0.2500	0.5000	0.2500	0.5000
set_P                 	313326649	0.2000	0.0000	0.2000	0.2000	0.2000	0.2000
set_recall            	313326649	1.0000	0.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	313326649	0.3333	0.0000	0.3333	0.3333	0.3333	0.3333
num_ret               	313326676	1	1	1	1	1	1
num_rel               	313326676	1	1	1	1	1	1
num_rel_ret           	313326676	0	0	0	0	0	0
recip_rank            	313326676	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
set_P                 	313326676	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
set_recall            	313326676	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
set_F                 	313326676	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
num_ret               	313326680	5	5	5	5	5	5
num_rel               	313326680	1	1	1	1	1	1
num_rel_ret           	313326680	1	0	1	1	0	0
recip_rank            	313326680	1.0000	0.0000	1.0000	1.0000	0.0000	0.0000
set_P                 	313326680	0.2000	0.0000	0.2000	0.2000	0.0000	0.0000
set_recall            	313326680	1.0000	0.0000	1.0000	1.0000	0.0000	0.0000
set_F                 	313326680	0.3333	0.0000	0.3333	0.3333	0.0000	0.0000
num_ret               	313326707	5	5	5	5	5	5
num_rel               	313326707	1	1	1	1	1	1
num_rel_ret           	313326707	1	0	1	1	1	1
recip_rank            	313326707	1.0000	0.0000	1.0000	1.0000	0.3333	1.0000
set_P                 	313326707	0.2000	0.0000	0.2000	0.2000	0.2000	0.2000
set_recall            	313326707	1.0000	0.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	313326707	0.3333	0.0000	0.3333	0.3333	0.3333	0.3333
num_ret               	313326715	5	5	5	5	5	5
num_rel               	313326715	1	1	1	1	1	1
num_rel_ret           	313326715	1	0	1	1	0	0
recip_rank            	313326715	1.0000	0.0000	1.0000	1.0000	0.0000	0.0000
set_P                 	313326715	0.2000	0.0000	0.2000	0.2000	0.0000	0.0000
set_recall            	313326715	1.0000	0.0000	1.0000	1.0000	0.0000	0.0000
set_F                 	313326715	0.3333	0.0000	0.3333	0.3333	0.0000	0.0000
num_ret               	313326739	3	5	3	3	5	3
num_rel               	313326739	1	1	1	1	1	1
num_rel_ret           	313326739	1	1	1	1	1	1
recip_rank            	313326739	1.0000	0.5000	1.0000	1.0000	0.5000	1.0000
set_P                 	313326739	0.3333	0.2000	0.3333	0.3333	0.2000	0.3333
set_recall            	313326739	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	313326739	0.5000	0.3333	0.5000	0.5000	0.3333	0.5000
num_ret               	313326741	5	5	5	5	5	5
num_rel               	313326741	1	1	1	1	1	1
num_rel_ret           	313326741	1	0	1	1	1	1
recip_rank            	313326741	1.0000	0.0000	1.0000	1.0000	0.5000	1.0000
set_P                 	313326741	0.2000	0.0000	0.2000	0.2000	0.2000	0.2000
set_recall            	313326741	1.0000	0.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	313326741	0.3333	0.0000	0.3333	0.3333	0.3333	0.3333
num_ret               	313326743	5	5	5	5	5	5
num_rel               	313326743	1	1	1	1	1	1
num_rel_ret           	313326743	1	0	1	1	1	1
recip_rank            	313326743	1.0000	0.0000	0.2500	1.0000	0.3333	1.0000
set_P                 	313326743	0.2000	0.0000	0.2000	0.2000	0.2000	0.2000
set_recall            	313326743	1.0000	0.0000	1.0000	1.0000	1.0000	1.0000
set_F                 	313326743	0.3333	0.0000	0.3333	0.3333	0.3333	0.3333
num_ret               	36783348	5	5	5	5	5	5
num_rel               	36783348	1	1	1	1	1	1
num_rel_ret           	36783348	1	0	1	1	0	0
recip_rank            	36783348	1.0000	0.0000	1.0000	1.0000	0.0000	0.0000
set_P                 	36783348	0.2000	0.0000	0.2000	0.2000	0.0000	0.0000
set_recall            	36783348	1.0000	0.0000	1.0000	1.0000	0.0000	0.0000
set_F                 	36783348	0.3333	0.0000	0.3333	0.3333	0.0000	0.0000
num_ret               	36783356	5	5	5	5	5	5
num_rel               	36783356	1	1	1	1	1	1
num_rel_ret           	36783356	1	0	1	1	0	1
recip_rank            	36783356	1.0000	0.0000	0.5000	1.0000	0.0000	1.0000
set_P                 	36783356	0.2000	0.0000	0.2000	0.2000	0.0000	0.2000
set_recall            	36783356	1.0000	0.0000	1.0000	1.0000	0.0000	1.0000
set_F                 	36783356	0.3333	0.0000	0.3333	0.3333	0.0000	0.3333
num_ret               	36783413	5	5	5	5	5	5
num_rel               	36783413	1	1	1	1	1	1
num_rel_ret           	36783413	1	0	1	1	0	1
recip_rank            	36783413	0.3333	0.0000	0.2500	0.5000	0.0000	0.3333
set_P                 	36783413	0.2000	0.0000	0.2000	0.2000	0.0000	0.2000
set_recall            	36783413	1.0000	0.0000	1.0000	1.0000	0.0000	1.0000
set_F                 	36783413	0.3333	0.0000	0.3333	0.3333	0.0000	0.3333
